graph_mode,window,model,experiment,test_MSE,test_RMSE,test_MAE,test_IC,test_DailyIC,test_ICIR,test_DirAcc,test_IC_ind,test_DailyIC_ind,test_ICIR_ind,strategy_n,strategy_total_return,strategy_cagr,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_hit_rate,strategy_max_drawdown,excess_total_return,excess_annual_return,excess_sharpe,benchmark_total_return,benchmark_sharpe,alignment_start,alignment_end
static,short,baseline_linear,static/short/baseline_linear,0.0030815349891781807,0.055511575271993324,0.03396723046898842,0.025549919491104266,0.02629390307497515,0.416328056459092,0.5238433441558441,,,,13,0.17261741760125626,0.8540174325638219,0.6280126415121441,0.12291127772246348,5.109479399687075,0.6923076923076923,-0.02219526974980257,-0.03708975752132626,-0.1303459147278775,0.9084091494438997,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,baseline_lstm,static/short/baseline_lstm,0.0031458667443161727,0.05608802674650065,0.035208516461123475,0.04909624422644278,0.045961157046063225,0.5846397697568512,0.5016233766233766,,,,13,0.2047440755401011,1.0588415020744568,0.7348856668776044,0.1288368115692966,5.704003831873287,0.8461538461538461,-0.019099047407507896,-0.004963099582481423,-0.023472889362417204,1.5029335816301117,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,baseline_xgboost,static/short/baseline_xgboost,0.003149486845359206,0.05612028907052427,0.03459702059626579,0.07038893233954072,0.06945284029854246,1.04386262349672,0.5269886363636364,,,,13,0.31106426300439316,1.8577163575025417,1.0699263765763205,0.14063566309528683,7.607788472909594,0.8461538461538461,-0.004098801958021148,0.10135708788181064,0.31156782033629893,3.406718222666419,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,mlp,static/short/mlp,0.003765443107113242,0.06136320646049424,0.03909076005220413,0.08302318621882247,0.08418713678049403,0.8984007748380914,0.6003449675324675,0.08059194383089423,0.0817172637408572,0.8579704039575603,13,0.2532132689254356,1.3990280427803845,0.8931070712609933,0.1514786461822763,5.895927206705463,0.7692307692307693,-0.018922962193307802,0.043506093802853085,0.13474851502097174,1.6948569564622877,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,gat_universe,static/short/gat_universe,0.003043527714908123,0.055168176650204084,0.03363466262817383,0.08429327805173988,0.08432689476428853,0.9491877044846694,0.5809050324675324,0.08245391381759126,0.08174570164576564,0.9327195337182672,13,0.3213242445989235,1.9453991024804265,1.100819975352631,0.1405586267148493,7.8317496483930515,0.8461538461538461,-0.012653629634380104,0.11161706947634098,0.3424614191126095,3.6306793981498764,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,gat_industry,static/short/gat_industry,0.0030478155240416527,0.05520702422737212,0.033824045211076736,0.06131002290493476,0.06492688760064168,0.697451329357141,0.5142045454545454,0.05719674331396589,0.060401780698489435,0.6369352774795041,13,0.2484145311354664,1.3636094289288803,0.8741456204953675,0.12060882412505648,7.247775001843865,0.8461538461538461,-0.007028275487898528,0.03870735601288389,0.1157870642553459,3.04670475160069,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,gat_two_graph_no_neutral,static/short/gat_two_graph_no_neutral,0.0051101758144795895,0.07148549373460038,0.051681291311979294,0.06117834789559863,0.06639810510667649,0.7238594418415917,0.6001623376623377,0.057710216824671014,0.06345669435342122,0.6640204471305196,13,0.2180432717214682,1.1483634984400188,0.7774928180787425,0.12398682058946492,6.270769863944762,0.7692307692307693,-0.005782365269859757,0.008336096598885678,0.019134261838720912,2.0696996137015873,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,dmfm_ind_neutral,static/short/dmfm_ind_neutral,0.0030785026028752327,0.0554842554503098,0.03380630165338516,0.0669522996832616,0.06639886440795009,0.7585920147447279,0.5563311688311688,0.06318628023863015,0.061528025461923125,0.6931443214881714,13,0.2637067137549809,1.4778491212597054,0.9233790496579156,0.13086571908015862,7.055927680283653,0.7692307692307693,-0.012688681486772158,0.05399953863239837,0.16502049341789404,2.854857430040478,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,short,dmfm_full,static/short/dmfm_full,0.004899147432297468,0.06999390996577823,0.05771385133266449,0.07762092099349072,0.07764491310261516,0.9689037216132383,0.4,0.0822737094022979,0.0828296321921191,1.0038624798655693,13,0.22373033618394866,1.1875138722213134,0.7996273478349814,0.15390260293077285,5.195671370124019,0.7692307692307693,-0.02642166708886573,0.01402316106136614,0.041268791594959775,0.9946011198808442,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
dynamic,short,mlp,dynamic/short/mlp,0.004551313351839781,0.06746342232528514,0.04680477827787399,0.07255021182248099,0.07408815423760545,0.7751572306534495,0.6002232142857143,0.07098504800250151,0.07226287434520687,0.748246218751886,13,0.25389104116645234,1.404062111600716,0.8925211847401582,0.13029861772493165,6.8498131470920525,0.7692307692307693,-0.015317059905173402,0.04418386604386981,0.1341626285001366,2.6487428968488773,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
