graph_mode,window,model,experiment,model_type,has_industry_labels,metrics_json,portfolio_json,alignment_start,alignment_end,alignment_n_periods,train_days,val_days,test_days,train_MSE,train_RMSE,train_MAE,train_IC,train_DailyIC,train_ICIR,train_DirAcc,train_IC_ind,train_DailyIC_ind,train_ICIR_ind,train_n,val_MSE,val_RMSE,val_MAE,val_IC,val_DailyIC,val_ICIR,val_DirAcc,val_IC_ind,val_DailyIC_ind,val_ICIR_ind,val_n,test_MSE,test_RMSE,test_MAE,test_IC,test_DailyIC,test_ICIR,test_DirAcc,test_IC_ind,test_DailyIC_ind,test_ICIR_ind,test_n,strategy_n,strategy_mean_return,strategy_std_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_hit_rate,strategy_total_return,strategy_cagr,strategy_max_drawdown,benchmark_n,benchmark_mean_return,benchmark_std_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_hit_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_annual_return,excess_total_return,excess_sharpe
static,short,baseline_linear,static/short/baseline_linear,linear,False,runs_unified/static/short/baseline_linear/metrics.json,runs_unified/static/short/baseline_linear/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.0038026520051062107,0.061665646879816405,0.03785857558250427,0.10438644398506397,0.08391189976185946,0.6700478483389544,0.5314851059497008,,,,,0.004356322344392538,0.06600244195779834,0.03799263760447502,0.05238418815954851,0.04953169562230568,0.5788206544157175,0.525090909090909,,,,,0.0030815349891781807,0.055511575271993324,0.03396723046898842,0.025549919491104266,0.02629390307497515,0.416328056459092,0.5238433441558441,,,,,13,0.012460568283971112,0.01731316488687639,0.6280126415121441,0.12291127772246348,5.109479399687075,0.6923076923076923,0.17261741760125626,0.8540174325638219,-0.02219526974980257,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,-0.1303459147278775,-0.03708975752132626,0.9084091494438997
static,short,baseline_lstm,static/short/baseline_lstm,lstm,False,runs_unified/static/short/baseline_lstm/metrics.json,runs_unified/static/short/baseline_lstm/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.003761204864000811,0.061328662662745316,0.03882782585332392,0.2153400159103895,0.19147996340134646,1.7052468202271704,0.5123385222022776,,,,,0.004416846255570367,0.06645935792324785,0.038864541179609746,0.05714266381067203,0.05384191578599997,0.7407984402508431,0.5162077922077922,,,,,0.0031458667443161727,0.05608802674650065,0.035208516461123475,0.04909624422644278,0.045961157046063225,0.5846397697568512,0.5016233766233766,,,,,13,0.014581064819000088,0.018147829910574533,0.7348856668776044,0.1288368115692966,5.704003831873287,0.8461538461538461,0.2047440755401011,1.0588415020744568,-0.019099047407507896,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,-0.023472889362417204,-0.004963099582481423,1.5029335816301117
static,short,baseline_xgboost,static/short/baseline_xgboost,xgboost,False,runs_unified/static/short/baseline_xgboost/metrics.json,runs_unified/static/short/baseline_xgboost/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.0027809180319309235,0.05273441032125915,0.033915918320417404,0.5856956094395355,0.551293129184907,4.618543959387915,0.6261666911789662,,,,,0.00444378238171339,0.06666170101125075,0.03882240131497383,0.08525958310253916,0.08543779599682479,0.5196303087178552,0.5344415584415585,,,,,0.003149486845359206,0.05612028907052427,0.03459702059626579,0.07038893233954072,0.06945284029854246,1.04386262349672,0.5269886363636364,,,,,13,0.021228697947942868,0.019809804838591315,1.0699263765763205,0.14063566309528683,7.607788472909594,0.8461538461538461,0.31106426300439316,1.8577163575025417,-0.004098801958021148,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.31156782033629893,0.10135708788181064,3.406718222666419
static,short,mlp,static/short/mlp,factor_variant,True,runs_unified/static/short/mlp/metrics.json,runs_unified/static/short/mlp/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.004236871842294931,0.0650912578023726,0.04175599291920662,0.32095209332408975,0.32783501007254107,3.0342884161766506,0.5958091347666331,0.3201452645031105,0.3255645923931821,3.088699760436504,176782.0,0.005022452678531408,0.07086926469585675,0.04209740087389946,0.10866682207007865,0.10275909398746955,0.7677105062935703,0.6024935064935064,0.10749399676023656,0.09998491326749731,0.766434924924589,19250.0,0.003765443107113242,0.06136320646049424,0.03909076005220413,0.08302318621882247,0.08418713678049403,0.8984007748380914,0.6003449675324675,0.08059194383089423,0.0817172637408572,0.8579704039575603,49280.0,13,0.017720378398035582,0.021337137053577728,0.8931070712609933,0.1514786461822763,5.895927206705463,0.7692307692307693,0.2532132689254356,1.3990280427803845,-0.018922962193307802,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.13474851502097174,0.043506093802853085,1.6948569564622877
static,short,gat_universe,static/short/gat_universe,factor_variant,True,runs_unified/static/short/gat_universe/metrics.json,runs_unified/static/short/gat_universe/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.003738794242963195,0.06114568049309121,0.037437550723552704,0.3133876092732586,0.3335864807313796,3.250813016313861,0.5956491725205766,0.3314309336028592,0.33251188585407737,3.3493881308493116,176782.0,0.0043230378068983555,0.06574981221949121,0.037656258791685104,0.12121941504266785,0.12268630295285832,1.0433366818341163,0.5832727272727273,0.1208148902917647,0.11938913784681615,1.019160264670979,19250.0,0.003043527714908123,0.055168176650204084,0.03363466262817383,0.08429327805173988,0.08432689476428853,0.9491877044846694,0.5809050324675324,0.08245391381759126,0.08174570164576564,0.9327195337182672,49280.0,13,0.021841666177631572,0.019798953567808704,1.100819975352631,0.1405586267148493,7.8317496483930515,0.8461538461538461,0.3213242445989235,1.9453991024804265,-0.012653629634380104,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.3424614191126095,0.11161706947634098,3.6306793981498764
static,short,gat_industry,static/short/gat_industry,factor_variant,True,runs_unified/static/short/gat_industry/metrics.json,runs_unified/static/short/gat_industry/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.0036940560676157475,0.060778746841439135,0.03754299134016037,0.3309169510713912,0.337972130154016,3.3000084988830785,0.5312898027016011,0.3198066115783439,0.326157029515688,3.351638782529597,176782.0,0.004314885940402746,0.06568779141060191,0.03788037598133087,0.11965616105678355,0.1151113281808437,0.8193667474825083,0.5144415584415585,0.12159118976521607,0.11348765749367047,0.8082064589182691,19250.0,0.0030478155240416527,0.05520702422737212,0.033824045211076736,0.06131002290493476,0.06492688760064168,0.697451329357141,0.5142045454545454,0.05719674331396589,0.060401780698489435,0.6369352774795041,49280.0,13,0.017344159136812847,0.01698884347784914,0.8741456204953675,0.12060882412505648,7.247775001843865,0.8461538461538461,0.2484145311354664,1.3636094289288803,-0.007028275487898528,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.1157870642553459,0.03870735601288389,3.04670475160069
static,short,gat_two_graph_no_neutral,static/short/gat_two_graph_no_neutral,factor_variant,True,runs_unified/static/short/gat_two_graph_no_neutral/metrics.json,runs_unified/static/short/gat_two_graph_no_neutral/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.005750548094511032,0.0758323683825781,0.053811222314834595,0.31018177385849166,0.3119753820983963,3.0911792113808017,0.5877447435241707,0.3001579760979569,0.30080093599429025,3.0455168553611136,176782.0,0.006376405246555805,0.07985239662374452,0.053644098341464996,0.10846051031787388,0.10278710671578904,0.8003437328344507,0.6037402597402597,0.11012474730613239,0.09995312070555333,0.788669035305746,19250.0,0.0051101758144795895,0.07148549373460038,0.051681291311979294,0.06117834789559863,0.06639810510667649,0.7238594418415917,0.6001623376623377,0.057710216824671014,0.06345669435342122,0.6640204471305196,49280.0,13,0.015426444803149654,0.01746466482524125,0.7774928180787425,0.12398682058946492,6.270769863944762,0.7692307692307693,0.2180432717214682,1.1483634984400188,-0.005782365269859757,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.019134261838720912,0.008336096598885678,2.0696996137015873
static,short,dmfm_ind_neutral,static/short/dmfm_ind_neutral,factor_variant,True,runs_unified/static/short/dmfm_ind_neutral/metrics.json,runs_unified/static/short/dmfm_ind_neutral/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.0035050869919359684,0.05920377514935993,0.03661147505044937,0.3456750956944786,0.3469968804402752,3.269887908855754,0.5904566776143731,0.33217851149921945,0.33353016888993375,3.2849997692801187,176782.0,0.004292478319257498,0.06551700786251993,0.03760161250829697,0.1284979544366834,0.12173140807686814,0.8491317269115711,0.5621818181818182,0.1286063887490333,0.11711210448375658,0.8182850248616407,19250.0,0.0030785026028752327,0.0554842554503098,0.03380630165338516,0.0669522996832616,0.06639886440795009,0.7585920147447279,0.5563311688311688,0.06318628023863015,0.061528025461923125,0.6931443214881714,49280.0,13,0.01832101289003801,0.01843361987978381,0.9233790496579156,0.13086571908015862,7.055927680283653,0.7692307692307693,0.2637067137549809,1.4778491212597054,-0.012688681486772158,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.16502049341789404,0.05399953863239837,2.854857430040478
static,short,dmfm_full,static/short/dmfm_full,factor_variant,True,runs_unified/static/short/dmfm_full/metrics.json,runs_unified/static/short/dmfm_full/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.005442426074296236,0.07377280036908072,0.059797752648591995,0.35648489772633357,0.3598907076218936,3.6390240220594223,0.413606068120495,0.34431917333452755,0.3472200925918687,3.5978395490301187,176782.0,0.006161639466881752,0.07849611115769846,0.0612008161842823,0.11782452285461123,0.10929970822437156,0.8639332014098351,0.3965714285714286,0.12055215637162245,0.10836292770606466,0.8411534024223007,19250.0,0.004899147432297468,0.06999390996577823,0.05771385133266449,0.07762092099349072,0.07764491310261516,0.9689037216132383,0.4,0.0822737094022979,0.0828296321921191,1.0038624798655693,49280.0,13,0.015865621980852805,0.02167857328012269,0.7996273478349814,0.15390260293077285,5.195671370124019,0.7692307692307693,0.22373033618394866,1.1875138722213134,-0.02642166708886573,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.041268791594959775,0.01402316106136614,0.9946011198808442
dynamic,short,mlp,dynamic/short/mlp,factor_variant,True,runs_unified/dynamic/short/mlp/metrics.json,runs_unified/dynamic/short/mlp/portfolio.json,2020-09-30,2020-12-28,13,230,25,64,0.00503463065251708,0.07095513126277113,0.04887549951672554,0.30363098227818913,0.3102964348349731,3.0281587033178816,0.5921123873516333,0.30354159450842433,0.3083249582999868,3.1325077801462644,176782.0,0.005826288368552923,0.07633012752873483,0.049176670610904694,0.08851604040690904,0.08472226591742492,0.6265392790464481,0.6028571428571428,0.08619545466050317,0.0804727231950315,0.6037221785179646,19250.0,0.004551313351839781,0.06746342232528514,0.04680477827787399,0.07255021182248099,0.07408815423760545,0.7751572306534495,0.6002232142857143,0.07098504800250151,0.07226287434520687,0.748246218751886,49280.0,13,0.01770875366547933,0.018353738525911746,0.8925211847401582,0.13029861772493165,6.8498131470920525,0.7692307692307693,0.25389104116645234,1.404062111600716,-0.015317059905173402,13,0.015046796750794079,0.025427249178505154,0.7583585562400216,0.1805155617657488,4.201070250243175,0.6153846153846154,0.20970717512258252,1.0919196276091934,-0.034095094121023184,0.1341626285001366,0.04418386604386981,2.6487428968488773
